sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2022-05-10;13,85;14,00;13,85;14,35;13,65;13,90;14,02;1159;16249;19;
2022-05-09;13,85;14,00;14,30;14,30;13,70;13,85;13,927;1292;17993,9;20;
2022-05-06;14,10;14,30;14,50;14,50;14,05;14,35;14,182;2385;33822,85;22;
2022-05-05;14,40;14,60;14,60;14,85;14,30;14,60;14,608;2117;30924,4;22;
2022-05-04;14,30;14,55;14,90;14,90;14,00;14,55;14,391;2127;30609;25;
2022-05-03;14,60;14,75;14,50;14,95;14,45;14,70;14,716;1187;17467,85;20;
2022-05-02;14,40;14,65;15,05;15,05;14,00;14,40;14,632;1529;22371,65;32;
2022-04-29;15,00;15,10;14,90;15,25;14,70;15,05;14,921;8859;132085,58;75;
2022-04-28;14,50;14,75;14,25;14,95;13,80;14,75;14,627;6813;99652,45;85;
2022-04-27;14,25;14,45;14,00;14,55;13,90;14,25;14,202;2696;38287,95;33;
2022-04-26;14,15;14,30;14,55;14,55;13,90;14,00;14,092;1376;19391;25;
2022-04-25;14,25;14,50;14,10;14,50;14,10;14,45;14,285;1326;18942,45;23;
2022-04-22;14,50;14,85;14,85;14,90;14,85;14,85;14,858;846;12570,05;11;
2022-04-21;14,70;14,85;14,70;14,95;14,55;14,85;14,785;5606;82885,95;36;
2022-04-20;14,45;14,70;14,25;14,55;14,25;14,55;14,37;1583;22748;15;
2022-04-19;14,20;14,40;14,60;14,60;14,15;14,35;14,348;1067;15308,85;17;
2022-04-14;14,50;14,55;14,35;15,30;14,20;14,55;14,497;7390;107131,1;37;
2022-04-13;14,05;14,30;14,30;14,45;13,95;14,35;14,209;1889;26840,4;22;
2022-04-12;14,10;14,30;14,05;14,30;13,80;14,30;14,022;14088;197547,75;36;
2022-04-11;14,05;14,30;13,70;14,45;13,70;14,30;14,179;11016;156192;57;
2022-04-08;13,90;14,10;14,10;14,10;13,90;13,90;13,915;41;570,5;3;
2022-04-07;13,80;14,10;13,50;14,15;13,50;14,10;13,943;3932;54825,3;30;
2022-04-06;13,50;13,75;13,85;13,85;13,20;13,70;13,445;1086;14600,8;25;
2022-04-05;13,60;13,85;13,85;13,90;13,70;13,80;13,767;3165;43572,7;15;
2022-04-04;13,60;13,85;13,65;13,85;13,35;13,85;13,636;4602;62752;24;
2022-04-01;13,50;13,65;13,35;13,65;12,85;13,65;13,38;4498;60184,1;49;
2022-03-31;13,26;13,36;13,40;13,40;13,24;13,36;13,297;189;2513,08;8;
